Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Engineering,Urban Planner,3.5,5,0,2,0,3,1,4,4,2,2,1,0,1,1
Chemistry,Art Director,4.0,1,2,0,0,8,1,3,4,0,3,0,3,0,1
Engineering,Chemist,4.6,1,0,0,0,5,0,1,1,1,2,2,3,4,1
Physics,Manager,4.1,3,1,3,0,1,0,4,1,3,1,2,1,2,0
Law,Education Administrator,4.8,0,2,4,0,0,0,4,4,3,4,4,3,2,0
Marketing,Accountant,4.0,2,0,0,1,2,0,0,2,4,3,1,2,4,1
Medicine,Cybersecurity Analyst,3.2,4,0,1,1,0,1,1,2,4,2,2,3,0,0
Computer Science,Special Education Teacher,4.4,2,1,0,0,0,0,2,3,3,4,4,2,4,0
Education,Civil Engineer,3.7,3,2,0,1,3,0,0,0,1,0,2,3,3,1
Medicine,Artist,3.9,5,2,2,1,7,0,2,4,4,4,0,3,2,1
Business,Architect,4.0,0,2,1,1,5,1,2,4,1,3,0,0,4,1
Education,Graphic Designer,4.8,5,1,1,1,5,1,1,1,4,2,4,0,2,0
Engineering,Acoustics Specialist,2.5,4,2,3,1,4,1,1,3,2,3,4,1,2,0
Chemistry,Organic Chemist,3.5,4,2,4,0,7,0,2,1,2,1,4,2,2,0
Engineering,Interior Designer,3.1,0,0,0,1,0,0,3,0,1,0,3,0,3,0
Architecture,Game Developer,4.9,3,2,1,1,1,1,2,2,1,0,1,3,2,1
Chemistry,Music Teacher,2.8,0,2,3,1,0,0,2,3,2,3,4,2,3,0
Law,Market Research Analyst,3.3,0,2,3,0,7,0,2,0,4,3,1,3,0,1
Music,Conductor,2.9,5,1,1,1,0,1,2,2,1,3,4,3,1,1
Medicine,Chemical Engineer,4.2,6,2,2,0,4,1,1,2,3,3,3,3,1,1
Marketing,School Psychologist,4.7,4,0,4,0,3,1,1,0,3,1,0,1,2,1
Physics,Psychologist,4.0,1,0,2,1,6,1,2,0,0,3,0,0,4,0
Biology,Special Education Teacher,3.1,7,0,0,1,6,0,4,3,0,2,1,1,3,1
Computer Science,Surgeon,3.3,2,1,2,0,8,1,0,0,3,1,1,4,2,0
Finance,Digital Marketing Specialist,4.4,8,0,4,0,8,1,3,0,0,1,0,1,4,1
Chemistry,Forensic Psychologist,4.9,1,2,3,0,9,1,0,0,4,1,0,3,0,0
Architecture,Judge,4.6,1,1,4,1,8,0,1,0,2,3,4,3,2,1
Biology,Analytical Chemist,2.9,6,2,1,0,3,1,0,4,1,0,1,0,3,1
Medicine,Illustrator,4.4,8,2,0,0,7,1,1,4,2,0,1,2,1,1
Music,Web Developer,3.7,5,0,0,1,8,0,1,1,2,3,0,3,1,0
Computer Science,Art Therapist,2.6,0,2,4,1,6,1,3,2,1,0,2,2,4,1
Chemistry,Counselor,3.4,7,1,1,1,5,1,0,0,1,2,0,2,2,0
Chemistry,Nurse,5.0,2,0,4,0,5,1,0,0,2,3,1,4,0,0
Marketing,Chemical Engineer,3.2,1,1,4,1,1,0,4,2,0,1,1,4,2,1
Architecture,Marketing Manager,3.0,5,1,1,1,5,1,1,2,2,3,1,2,0,0
Psychology,Teacher,4.6,1,0,4,0,0,0,4,0,4,1,4,0,2,0
Art,Doctor,3.2,5,0,2,0,6,1,2,3,4,0,2,3,3,1
Engineering,Paralegal,2.9,1,2,4,0,4,1,1,3,4,1,2,3,0,1
Music,Art Director,3.8,6,1,3,0,8,1,2,1,2,4,4,1,2,0
Law,Psychologist,4.6,9,0,0,0,9,0,0,1,2,4,3,3,0,0
Law,Data Scientist,3.5,5,2,3,0,3,0,3,2,0,3,0,1,0,1
Physics,Software Developer,3.0,7,1,3,0,5,1,1,3,4,1,0,4,4,1
Marketing,Graphic Designer,3.4,3,0,2,0,1,0,3,3,2,0,2,4,1,0
Marketing,Urban Planner,4.0,2,0,4,1,5,0,1,2,1,2,3,3,3,1
Architecture,Investment Banker,2.8,3,0,3,1,3,1,3,2,3,2,2,2,2,1
Education,Curriculum Developer,3.1,3,2,1,0,7,0,2,4,0,4,2,0,3,0
Medicine,Microbiologist,4.7,6,2,1,0,5,0,4,2,1,4,2,0,0,1
Chemistry,Surgeon,3.1,8,2,3,0,0,0,3,1,3,3,0,3,4,0
Music,Interior Designer,4.2,7,1,3,1,8,0,1,3,2,2,4,3,1,0
