Category,cleaned_resume
Data Science,"Python, Sql, Java, JavaScript, jQuery, Machine learning, Regression, SVM, Naïve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling, PCA, Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch, D3.js, DC.js, Plotly, kibana, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision, Deep learning, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, NLTK, spacy, Elastic Search, Kibana, Bootstrap, Node.js"
Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, outlier detection, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting, ARIMA, SARIMAX, Holt-winter, Prophet, meta-feature extraction"
Data Science,"Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics, Programming Matlab, Python, Java, LabView, Django, Flask, LTSPICE, MIPOWER, Github, Jupyter Notebook, Xampp, MySQL, Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, Electrical Engineering, SQL"
Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, SQL, Data Flow, Time Series Forecasting, Anaconda3, Python3.6, HANA SPS12, SAP Predictive analytics, T-SQL, PL-SQL, Visual Studio, Performance Monitor, SQL Server Profiler"
Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management"
Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE, machine learning, data science"
Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Data Science"
Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Algorithms, NLP, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Bias variance Trade off, Support vector Machine, Logistic Regression, K means clustering, SQL, Oracle, Linux, Windows, C++, Java, Service Now, Remedy"
Data Science,"Ability to quickly grasp technical aspects, willingness to learn, high energy levels, result oriented, experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, good knowledge in computer subjects, practical knowledge of Deep Learning algorithms, develop custom data models and algorithms, experience with Python packages like Pandas, Scikit-learn, TensorFlow, Numpy, Matplotlib, NLTK, comfort with SQL, MySQL, sentiment analysis, web crawling using Selenium, Beautiful Soup."
Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, BI, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, AWS LEX, TensorFlow, Web Scraping, Selenium, Data Visualization, Data Insights, Hadoop, Hive, PySpark, QlikSense, Microsoft Face API, Open CV, R, NLP, Apache Spark"
